Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
1,1,Sebastian Vettel,Red Bull Racing-Renault,58,1:29:30.259,1,25,2011,Australia,1
2,3,Lewis Hamilton,McLaren-Mercedes,58,+22.2 secs,2,18,2011,Australia,1
3,10,Vitaly Petrov,Renault,58,+30.5 secs,6,15,2011,Australia,1
4,5,Fernando Alonso,Ferrari,58,+31.7 secs,5,12,2011,Australia,1
5,2,Mark Webber,Red Bull Racing-Renault,58,+38.1 secs,3,10,2011,Australia,1
6,4,Jenson Button,McLaren-Mercedes,58,+54.3 secs,4,8,2011,Australia,1
7,6,Felipe Massa,Ferrari,58,+85.1 secs,8,6,2011,Australia,1
8,18,Sebastien Buemi,STR-Ferrari,57,+1 Lap,10,4,2011,Australia,1
9,14,Adrian Sutil,Force India-Mercedes,57,+1 Lap,16,2,2011,Australia,1
10,15,Paul di Resta,Force India-Mercedes,57,+1 Lap,14,1,2011,Australia,1
11,19,Jaime Alguersuari,STR-Ferrari,57,+1 Lap,12,0,2011,Australia,1
12,9,Nick Heidfeld,Renault,57,+1 Lap,18,0,2011,Australia,1
13,21,Jarno Trulli,Lotus-Renault,56,+2 Laps,20,0,2011,Australia,1
14,25,Jerome D'Ambrosio,Virgin-Cosworth,54,+4 Laps,22,0,2011,Australia,1
DNQ,22,Narain Karthikeyan,HRT-Cosworth,,,,0,2011,Australia,1
DNQ,23,Vitantonio Liuzzi,HRT-Cosworth,,,,0,2011,Australia,1
DSQ,17,Sergio Perez,Sauber-Ferrari,58,+65.8 secs,13,0,2011,Australia,1
DSQ,16,Kamui Kobayashi,Sauber-Ferrari,58,+76.8 secs,9,0,2011,Australia,1
NC,24,Timo Glock,Virgin-Cosworth,49,+9 Laps,21,0,2011,Australia,1
Ret,11,Rubens Barrichello,Williams-Cosworth,48,Transmission,17,0,2011,Australia,1
Ret,8,Nico Rosberg,Mercedes,22,Accident damage,7,0,2011,Australia,1
Ret,20,Heikki Kovalainen,Lotus-Renault,19,Water leak,19,0,2011,Australia,1
Ret,7,Michael Schumacher,Mercedes,19,Puncture damage,11,0,2011,Australia,1
Ret,12,Pastor Maldonado,Williams-Cosworth,9,Transmission,15,0,2011,Australia,1
1,1,Sebastian Vettel,Red Bull Racing-Renault,56,1:37:39.832,1,25,2011,Malaysia,2
