Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
19,22,Daniel Ricciardo,HRT-Cosworth,57,+3 Laps,22,0,2011,Germany,10
20,21,Karun Chandhok,Lotus-Renault,56,+4 Laps,20,0,2011,Germany,10
Ret,23,Vitantonio Liuzzi,HRT-Cosworth,37,Electrical,23,0,2011,Germany,10
Ret,4,Jenson Button,McLaren-Mercedes,35,Hydraulics,7,0,2011,Germany,10
Ret,11,Rubens Barrichello,Williams-Cosworth,16,Oil leak,14,0,2011,Germany,10
Ret,9,Nick Heidfeld,Renault,9,Accident,11,0,2011,Germany,10
1,4,Jenson Button,McLaren-Mercedes,70,1:46:42.337,3,25,2011,Hungary,11
2,1,Sebastian Vettel,Red Bull Racing-Renault,70,+3.5 secs,1,18,2011,Hungary,11
3,5,Fernando Alonso,Ferrari,70,+19.8 secs,5,15,2011,Hungary,11
4,3,Lewis Hamilton,McLaren-Mercedes,70,+48.3 secs,2,12,2011,Hungary,11
5,2,Mark Webber,Red Bull Racing-Renault,70,+49.7 secs,6,10,2011,Hungary,11
6,6,Felipe Massa,Ferrari,70,+83.1 secs,4,8,2011,Hungary,11
7,15,Paul di Resta,Force India-Mercedes,69,+1 Lap,11,6,2011,Hungary,11
8,18,Sebastien Buemi,STR-Ferrari,69,+1 Lap,23,4,2011,Hungary,11
9,8,Nico Rosberg,Mercedes,69,+1 Lap,7,2,2011,Hungary,11
